Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
52239,0:34:49,928,232,488,317,Positive,0.8990154,Around,F,
52239,0:34:49,702,281,385,453,Negative,0.7531483,Around,F,
52239,0:34:49,886,399,301,145,Positive,0.98956364,Around,F,
55064,0:36:42,334,495,225,263,Positive,0.83734226,Around,F,Feed from outside
55065,0:36:42,379,382,338,314,Negative,0.80380124,Around,F,
55066,0:36:42,431,302,418,299,Negative,0.61580384,Around,F,
55068,0:36:42,621,294,393,329,Positive,0.53785974,Around,F,
55069,0:36:42,636,207,444,479,Positive,0.99893564,Around,F,
55070,0:36:42,656,150,451,426,Positive,0.99999344,Around,F,
55071,0:36:42,747,118,337,195,Positive,0.9984445,Around,F,
55072,0:36:42,667,122,409,310,Positive,0.9905861,Around,F,
55073,0:36:42,726,129,136,284,Negative,0.76456964,Around,F,
55077,0:36:43,805,128,212,177,Positive,0.52688,Around,F,
55080,0:36:43,927,152,158,242,Positive,0.5580243,Around,F,
55081,0:36:43,777,141,443,282,Positive,0.9964232,Around,F,
55082,0:36:43,800,165,423,273,Positive,0.96232253,Around,F,
55205,0:36:48,878,377,141,70,Positive,0.8285828,Around,F,
55206,0:36:48,678,141,456,487,Positive,0.99992836,Around,F,
55207,0:36:48,722,136,470,357,Positive,0.99999976,Around,F,
55208,0:36:48,708,199,360,334,Positive,0.997152,Around,F,
55209,0:36:48,677,179,373,460,Positive,0.95303226,Around,F,
55210,0:36:48,659,176,278,189,Positive,0.9996007,Around,F,
55211,0:36:48,685,109,106,198,Negative,0.61318827,Around,F,
55261,0:36:50,729,139,390,269,Positive,0.9961105,Around,F,
55262,0:36:50,655,144,382,367,Positive,0.7397295,Around,F,
55263,0:36:50,745,124,390,288,Positive,0.99817145,Around,F,
55264,0:36:50,715,145,366,373,Positive,0.99805236,Around,F,
55267,0:36:50,758,228,454,493,Negative,0.52232957,Around,F,
55268,0:36:50,765,322,398,515,Negative,0.81861836,Around,F,
58025,0:38:41,334,422,298,333,Negative,0.65031904,Around,F,New Event
58026,0:38:41,589,389,331,236,Positive,0.56713736,Around,F,
58027,0:38:41,617,298,387,425,Positive,0.73187786,Around,F,
58028,0:38:41,584,185,484,510,Positive,0.99998677,Around,F,
58028,0:38:41,813,366,184,144,Positive,0.62341404,Around,F,
